keys,en
lorem_ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Pellentesque porttitor ornare lorem, non lobortis sem eleifend at. Donec euismod ullamcorper est sed eleifend. In non magna nisl. Nulla blandit elit dolor, in eleifend nibh tincidunt eu. Cras iaculis orci et felis rhoncus tempor. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Nam ut suscipit diam. Sed luctus laoreet nisl id tincidunt. Phasellus congue, urna a placerat posuere, ex metus pellentesque velit, vel pretium eros neque quis enim. Vivamus elementum scelerisque urna sit amet tristique. Vestibulum elementum massa quis diam accumsan semper. Aenean accumsan odio at hendrerit dignissim."
lorem_ipsum2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Pellentesque porttitor ornare lorem, non lobortis sem eleifend at. Donec euismod ullamcorper est sed eleifend. In non magna nisl. Nulla blandit elit dolor, in eleifend nibh tincidunt eu. Cras iaculis orci et felis rhoncus tempor. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Nam ut suscipit diam. Sed luctus laoreet nisl id tincidunt. Phasellus congue, urna a placerat posuere, ex metus pellentesque velit, vel pretium eros neque quis enim. Vivamus elementum scelerisque urna sit amet tristique. Vestibulum elementum massa quis diam accumsan semper. Aenean accumsan odio at hendrerit dignissim."
lorem_ipsum3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Pellentesque porttitor ornare lorem, non lobortis sem eleifend at. Donec euismod ullamcorper est sed eleifend. In non magna nisl. Nulla blandit elit dolor, in eleifend nibh tincidunt eu. Cras iaculis orci et felis rhoncus tempor. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Nam ut suscipit diam. Sed luctus laoreet nisl id tincidunt. Phasellus congue, urna a placerat posuere, ex metus pellentesque velit, vel pretium eros neque quis enim. Vivamus elementum scelerisque urna sit amet tristique. Vestibulum elementum massa quis diam accumsan semper. Aenean accumsan odio at hendrerit dignissim."
shop_armor_desc,[font size=5]Trinket Armor: Reduce 1 incoming damage per armor.
shop_bandaid_desc,[font size=5]Trinket Bandaid: Heal 1 Heart per bandaud when entering a shop.
shop_bubble_desc,Weapon Bubble: Shoot bubbles to capture enemies and push them back. Deals damage when popped. Aims at random targets.
shop_flail_desc,Weapon Flail: Hit enemies in an arc around you. Aims at the closest enemy if possible.
shop_glasses_desc,"Trinket Shades: Look cool and stylish whit these [rainbow]RAD[/rainbow] shades! Oh and, something, something, critical bonuses."
shop_heart_desc,[font size=7]Gain a [color=red]Heart[/color] permanantly.
shop_knife_desc,[font size=5]Weapon Knives: Throw knives at enemies. Will target enemies in range.
shop_level_desc,"Increase your character level by [color=green]1[/color]. Increases damage, movement speed, critical chance and critical damage."
shop_protein_desc,[font size=5][color=a5320b][shake]PROTEIN[/shake]! GET YOUR MUSCLE ON AND DO MORE DAMAGE WITH PROTEIN!
shop_tornado_desc,[font size=5]Weapon Tornados: Spawn tornados at random positions on the map that move towards you.
shop_radiation_desc,[font size=5]Weapon Signs: [color=darkred]Interdiction[/color] signs spin around you.
shop_interdiction_desc,Weapon Radiation: An area of [color=yellow]radiation[/color] around you deals damage to enemies
fa_01,"Woah, woah, woah, woah, woah! What's going on here?"
fa_02,Why are you not dead? What is the meaning of this?
fa_03,Who are you anyways? You know what? I don't care. I'm just going to make sure this doesn't happen again.
fa_04,Let's reset you... 3 [color=red]hearts[/color]? Check. Zero [color=gold]coins[/color]? Check. One [color=purple]weapon[/color]? Check. Get rid of [color=blue]trinkets[/color]? Check.
sr_01,"Ok, you've done that enough. Let's see if you can do it again."
sr_02,And off to the start you go!
tfd_01,It seems I have misjudged you. A mistake I will not do a second time.
tfd_02,It is time to remove the kid gloves. Let's see if you can do this with even more enemies.
tmn_01,"It seems, that also was a waste. Time for some more drastic measures."
tmn_02,"Let's see if the future can [color=lightpink]contend[/color] with you. Well, [color=green]your[/color] future that is. "
tmd_01,[font size=8]Wuh... How? Who?
tmd_02,Alright. Let's crank the [color=red]difficulty[/color] up again!
tfra_01,[font size=8][shake]ARRGGH![/shake] WHAT IS THE MEANING OF THIS?!?!
tfra_02,[font size=6]YOU SHALL KNOW THE [pulse]WRATH[/pulse] OF [shake][ghost]DEATH[/ghost][/shake]! ONE DOES NOT SIMPLY WALK INTO MY DOMAIN!
tfra_03,"To the past. And let's make sure you can't do much! No Trinkets! No other weapons, Just the [color=yellow]Radiation[/color]!"
tmnw_01,"HOW?! You have the worst weapon possible! OK! No more Mister Nice [ghost freq=5.0 span=10.0][shake]Death[/shake][/ghost]. No weapons, no chance!"
dgu_01,"Please stop. No more. I give up. You win. I can't kill you. You can't die. Whatever is going on, I don't like it."
dgu_02,Let's just call it quits and never speak of this ever again. Ok?
dgu_03,"Ok, bye."
pause_title,[center]Paused[/center]
panel_1,Settings
panel_2,Keyboard
panel_3,Gamepad
audio_sub_title,[center]Audio[/center]
esc_controls,Bksp - Pause
w_controls,W - Move Up
e_controls,E - Interact/Buy
a_controls,A - Move Left
s_controls,S - Move Down
d_controls,D - Move Right
gamepad_start,Start - Pause
gamepad_a,A - Interact/Buy
gamepad_stick,Left Stick - Move
result_text,"Congratulations! You have survived not dying. It appears [ghost][shake]Death[/shake][/ghost] was unable to kill you. As a reward, have my [rainbow]thanks[/rainbow] for playing."
result_death_count,[right]Deaths:[/right]
quit_button,Return to main menu
rid_company_name,[center]Robots in Disguise[/center]
warning1_title,[center]Warning[/center]
warning1_text,"[center]No Deaths, Reapers, Charon, Hades, Lucifers, Pluto, Hel, Kali, Anubis, Ah Puch, Mictlantecuhtli, Shinigami, Yama, or any other non-denominational  Deiti or representation of death has been harmed in the process of making this game.[/center]"
game_title,[center]In Death We Trust[/center]
rid_logo_name,Robots in Disguise
tm_label,[center]NOT TM AND NOT C 2024
rid_sub_name,[center]Robots in Disguise
made_for,[center]Made using
godot,[center]Godot
btn_1_player,[center]1 Player
back_btn,Back
business_rad_only,Weak
Thief,Hero
thief_no_weapon,Meat
businessman,Slave
fantasy,Dungeon
modern,City
diff_normal,Normal
diff_difficult,Difficult
diff_rad,Rad only
diff_extreme,Extreme
Bksp,Bksp
pbtn_text,Pause
